method,n,seed,mae,rmse,r2,mape,bep_q_err,bep_h_err,bep_eff_err
LHS,30,6,0.0014585102683148813,0.002674340130515312,0.9980969186906687,0.22929689163895361,0.02739999999999998,0.0,0.007784033326026174
LHS,30,7,0.00205765188797547,0.0046226489449043414,0.9943140126650793,0.31768587910833257,0.02739999999999998,1.0,0.003843076481311436
LHS,30,8,0.00103961591154368,0.0019216109671615943,0.9990174492335443,0.1686159766424103,0.018299999999999983,0.0,0.0003401464234946694
LHS,30,9,0.0017644166197130402,0.003630153751880136,0.9964934979227681,0.28137059211355575,0.02739999999999998,1.0,0.0013829177835895656
LHS,30,10,0.0025888877631111934,0.006916234939270259,0.9872719012418166,0.40825484504491233,0.02739999999999998,1.0,0.018287910782673333
LHS,30,11,0.0011964574164429367,0.002316268956487607,0.9985724148075028,0.1900714384513957,0.02739999999999998,0.0,0.0005969769271405578
LHS,30,12,0.0016072882995141658,0.0033211322412957166,0.9970650791141566,0.2539364156525113,0.02739999999999998,1.0,0.0014684311450440246
LHS,30,13,0.0030664185503145583,0.006352041753141879,0.9892637961329926,0.5307945366633174,0.02739999999999998,1.0,0.003635839037981037
LHS,30,14,0.0020135488074817017,0.004625658519883752,0.99430660653239,0.3152949183098141,0.02739999999999998,1.0,0.0039279565414392925
LHS,30,15,0.002252586675903392,0.0050045675044056975,0.9933356597098789,0.3707495923511035,0.02739999999999998,1.0,0.004522524197467237
LHS,30,16,0.002242571121553887,0.004567833445024866,0.9944480623345632,0.36254640084526185,0.02739999999999998,1.0,0.002135157658923914
LHS,30,17,0.00156947718372832,0.0029820500712794554,0.9976337865202813,0.2600965383771756,0.02739999999999998,0.0,0.00703148197373793
LHS,30,18,0.0013250544323576271,0.002784696889235749,0.9979366166551203,0.20638420589819784,0.02739999999999998,1.0,0.0021541039022374697
LHS,30,19,0.0019202921136364153,0.003440128521675547,0.9968509946592587,0.3186193996766461,0.0,0.0,0.008636046733237257
BO-UCB,6,0,0.010702970781069885,0.01711790314493165,0.922030420705571,1.917178088877423,0.007600000000000051,1.0,0.008493826306388952
BO-UCB,6,1,0.032023859803409244,0.051644238194302854,0.2903114272175519,5.960922952633105,0.02739999999999998,0.0,0.017146958117040145
BO-UCB,6,2,0.021023269317981357,0.029824588656968288,0.7633137730932673,3.764301068705711,0.007600000000000051,1.0,0.005556948094600389
BO-UCB,6,3,0.019331325583696622,0.03197822989840637,0.7278972680284624,3.592542337607721,0.02739999999999998,1.0,0.0005600032572914415
BO-UCB,6,4,0.004273645779734762,0.005735534097917381,0.9912467004000615,0.6845747101069652,0.02739999999999998,0.0,0.015580465882376604
BO-UCB,6,5,0.01722100998650962,0.029972611736886902,0.7609585375364929,3.2150234458311813,0.02739999999999998,1.0,0.0023942450552464356
BO-UCB,6,6,0.01438325506347877,0.01934599242960322,0.9004122114913647,2.479579085872426,0.026800000000000046,1.0,0.003941273100187881
BO-UCB,6,7,0.005557147815576362,0.00783972225969973,0.9836459464493528,0.9486867865943602,0.007600000000000051,1.0,0.01652281631118402
BO-UCB,6,8,0.014896485185639956,0.019107755636987748,0.9028498627384701,2.542970610690149,0.007600000000000051,1.0,0.006375647505280857
BO-UCB,6,9,0.016814486692316177,0.029479532508007444,0.7687587834080227,3.0996624550261744,0.0,0.0,0.015201278619996539
BO-UCB,6,10,0.018678066913950683,0.033599270474760926,0.699611185394337,3.519699819584162,0.0,0.0,0.006930797502177843
BO-UCB,6,11,0.007592077649575137,0.01151495567353344,0.9647183731546524,1.3211428767619486,0.0,0.0,0.018174047565486462
